legacy_matnr,description,uom,plant,mrp_type,valuation_class,gross_weight,dq_flag
MAT00042,NA Cementitious Blend 042,TO,1100,PD,7900,11.49,MISSING_UOM
MAT00043,NA Cementitious Blend 043,TO,1200,VB,3000,21.92,OK
MAT00044,NA Cementitious Blend 044,EA,1000,PD,7900,24.98,OK
MAT00045,NA Cementitious Blend 045,TO,1100,PD,3100,12.4,OK
MAT00046,NA Cementitious Blend 046,EA,1000,PD,3100,0.55,MISSING_UOM
MAT00047,NA Cementitious Blend 047,EA,2000,VB,3100,17.57,BAD_PLANT
MAT00048,NA Cementitious Blend 048,PAL,2000,PD,3000,7.77,OK
MAT00049,NA Cementitious Blend 049,PAL,1000,ND,3100,1.9,DUP_DESC
MAT00050,NA Cementitious Blend 050,EA,1100,PD,7900,2.46,OK
MAT00051,NA Cementitious Blend 051,TO,1000,ND,3000,10.39,DUP_DESC
MAT00052,NA Cementitious Blend 052,TO,1000,ND,3000,10.77,DUP_DESC
MAT00053,NA Cementitious Blend 053,PAL,1200,VB,3000,16.91,OK
MAT00054,NA Cementitious Blend 054,TO,1200,VB,3000,16.96,OK
MAT00055,NA Cementitious Blend 055,EA,1200,PD,3000,11.73,DUP_DESC
MAT00056,NA Cementitious Blend 056,TO,1000,ND,3000,12.89,OK
MAT00057,NA Cementitious Blend 057,EA,1000,PD,3100,7.48,MISSING_UOM
MAT00058,NA Cementitious Blend 058,PAL,1200,ND,7900,13.46,BAD_PLANT
MAT00059,NA Cementitious Blend 059,PAL,1200,ND,3000,23.5,OK
MAT00060,NA Cementitious Blend 060,EA,1000,PD,7900,14.05,OK
MAT00061,NA Cementitious Blend 061,EA,1100,ND,3100,5.49,BAD_PLANT
MAT00062,NA Cementitious Blend 062,EA,2000,VB,3000,2.76,MISSING_UOM
MAT00063,NA Cementitious Blend 063,EA,1000,PD,3100,19.39,BAD_PLANT
MAT00064,NA Cementitious Blend 064,EA,1100,ND,3100,14.02,MISSING_UOM
MAT00065,NA Cementitious Blend 065,PAL,1000,PD,3000,23.65,BAD_PLANT
MAT00066,NA Cementitious Blend 066,TO,1000,VB,7900,14.04,MISSING_UOM
MAT00067,NA Cementitious Blend 067,TO,1000,VB,3100,22.53,OK
MAT00068,NA Cementitious Blend 068,EA,1100,ND,3000,16.84,OK
MAT00069,NA Cementitious Blend 069,PAL,2000,ND,7900,4.29,OK
MAT00070,NA Cementitious Blend 070,TO,1100,VB,3000,4.89,OK
MAT00071,NA Cementitious Blend 071,EA,1100,VB,3000,19.79,OK
MAT00072,NA Cementitious Blend 072,EA,1000,VB,3000,5.39,MISSING_UOM
MAT00073,NA Cementitious Blend 073,EA,1200,PD,3000,1.08,OK
MAT00074,NA Cementitious Blend 074,EA,1200,VB,3000,24.19,OK
MAT00075,NA Cementitious Blend 075,EA,2000,ND,7900,8.61,OK
MAT00076,NA Cementitious Blend 076,TO,1200,PD,7900,24.08,OK
MAT00077,NA Cementitious Blend 077,TO,1000,ND,3100,8.97,OK
MAT00078,NA Cementitious Blend 078,EA,1000,VB,7900,5.16,OK
MAT00079,NA Cementitious Blend 079,PAL,2000,PD,7900,23.18,DUP_DESC
MAT00080,NA Cementitious Blend 080,PAL,1100,VB,3100,2.21,BAD_PLANT
